customer_id,signup_month,activity_month,mrr,plan_tier,region
C00006,2023-01,2023-07,61.2,Starter,NA
C00006,2023-01,2023-08,61.2,Starter,NA
C00006,2023-01,2023-09,61.2,Starter,NA
C00006,2023-01,2023-10,61.2,Starter,NA
C00006,2023-01,2023-11,73.44,Starter,NA
C00006,2023-01,2023-12,73.44,Starter,NA
C00006,2023-01,2024-01,88.13,Starter,NA
C00006,2023-01,2024-02,88.13,Starter,NA
C00006,2023-01,2024-03,88.13,Starter,NA
C00006,2023-01,2024-04,88.13,Starter,NA
C00006,2023-01,2024-05,105.75,Starter,NA
C00006,2023-01,2024-06,105.75,Starter,NA
C00006,2023-01,2024-07,105.75,Starter,NA
C00006,2023-01,2024-08,105.75,Starter,NA
C00006,2023-01,2024-09,105.75,Starter,NA
C00006,2023-01,2024-10,105.75,Starter,NA
C00006,2023-01,2024-11,105.75,Starter,NA
C00006,2023-01,2024-12,105.75,Starter,NA
C00007,2023-01,2023-01,200.0,Pro,APAC
C00007,2023-01,2023-02,240.0,Pro,APAC
C00007,2023-01,2023-03,288.0,Pro,APAC
C00007,2023-01,2023-04,288.0,Pro,APAC
C00007,2023-01,2023-05,288.0,Pro,APAC
C00007,2023-01,2023-06,288.0,Pro,APAC
C00007,2023-01,2023-07,345.6,Pro,APAC
C00008,2023-01,2023-01,50.0,Starter,NA
C00008,2023-01,2023-02,50.0,Starter,NA
C00008,2023-01,2023-03,50.0,Starter,NA
C00008,2023-01,2023-04,50.0,Starter,NA
C00008,2023-01,2023-05,50.0,Starter,NA
C00008,2023-01,2023-06,42.5,Starter,NA
C00008,2023-01,2023-07,42.5,Starter,NA
C00008,2023-01,2023-08,42.5,Starter,NA
C00008,2023-01,2023-09,42.5,Starter,NA
C00008,2023-01,2023-10,51.0,Starter,NA
C00008,2023-01,2023-11,61.2,Starter,NA
C00008,2023-01,2023-12,73.44,Starter,NA
C00008,2023-01,2024-01,73.44,Starter,NA
C00008,2023-01,2024-02,73.44,Starter,NA
C00008,2023-01,2024-03,73.44,Starter,NA
C00008,2023-01,2024-04,88.13,Starter,NA
C00008,2023-01,2024-05,88.13,Starter,NA
C00008,2023-01,2024-06,88.13,Starter,NA
C00008,2023-01,2024-07,88.13,Starter,NA
C00008,2023-01,2024-08,105.75,Starter,NA
C00008,2023-01,2024-09,105.75,Starter,NA
C00008,2023-01,2024-10,105.75,Starter,NA
C00008,2023-01,2024-11,105.75,Starter,NA
C00008,2023-01,2024-12,105.75,Starter,NA
C00009,2023-01,2023-01,800.0,Enterprise,EMEA
C00009,2023-01,2023-02,800.0,Enterprise,EMEA
C00009,2023-01,2023-03,800.0,Enterprise,EMEA
C00009,2023-01,2023-04,800.0,Enterprise,EMEA
C00009,2023-01,2023-05,800.0,Enterprise,EMEA
C00009,2023-01,2023-06,680.0,Enterprise,EMEA
C00009,2023-01,2023-07,680.0,Enterprise,EMEA
C00009,2023-01,2023-08,680.0,Enterprise,EMEA
C00009,2023-01,2023-09,680.0,Enterprise,EMEA
C00009,2023-01,2023-10,680.0,Enterprise,EMEA
C00009,2023-01,2023-11,680.0,Enterprise,EMEA
C00009,2023-01,2023-12,680.0,Enterprise,EMEA
C00009,2023-01,2024-01,680.0,Enterprise,EMEA
C00009,2023-01,2024-02,680.0,Enterprise,EMEA
C00009,2023-01,2024-03,816.0,Enterprise,EMEA
C00009,2023-01,2024-04,979.2,Enterprise,EMEA
C00009,2023-01,2024-05,979.2,Enterprise,EMEA
C00009,2023-01,2024-06,979.2,Enterprise,EMEA
C00009,2023-01,2024-07,979.2,Enterprise,EMEA
C00009,2023-01,2024-08,979.2,Enterprise,EMEA
C00009,2023-01,2024-09,1175.04,Enterprise,EMEA
C00009,2023-01,2024-10,1410.05,Enterprise,EMEA
C00009,2023-01,2024-11,1410.05,Enterprise,EMEA
C00009,2023-01,2024-12,1410.05,Enterprise,EMEA
C00010,2023-01,2023-01,200.0,Pro,NA
C00010,2023-01,2023-02,200.0,Pro,NA
C00010,2023-01,2023-03,240.0,Pro,NA
C00010,2023-01,2023-04,240.0,Pro,NA
C00010,2023-01,2023-05,240.0,Pro,NA
C00010,2023-01,2023-06,240.0,Pro,NA
C00010,2023-01,2023-07,240.0,Pro,NA
C00010,2023-01,2023-08,240.0,Pro,NA
C00010,2023-01,2023-09,240.0,Pro,NA
C00010,2023-01,2023-10,240.0,Pro,NA
C00010,2023-01,2023-11,288.0,Pro,NA
C00010,2023-01,2023-12,288.0,Pro,NA
C00011,2023-01,2023-01,50.0,Starter,APAC
C00011,2023-01,2023-02,50.0,Starter,APAC
C00011,2023-01,2023-03,50.0,Starter,APAC
C00011,2023-01,2023-04,50.0,Starter,APAC
C00011,2023-01,2023-05,50.0,Starter,APAC
C00011,2023-01,2023-06,50.0,Starter,APAC
C00011,2023-01,2023-07,60.0,Starter,APAC
C00011,2023-01,2023-08,60.0,Starter,APAC
C00011,2023-01,2023-09,72.0,Starter,APAC
C00011,2023-01,2023-10,86.4,Starter,APAC
C00011,2023-01,2023-11,103.68,Starter,APAC
C00011,2023-01,2023-12,88.13,Starter,APAC
C00011,2023-01,2024-01,88.13,Starter,APAC
C00011,2023-01,2024-02,105.75,Starter,APAC
C00011,2023-01,2024-03,105.75,Starter,APAC
C00011,2023-01,2024-04,105.75,Starter,APAC
C00011,2023-01,2024-05,126.9,Starter,APAC
C00011,2023-01,2024-06,126.9,Starter,APAC
C00011,2023-01,2024-07,126.9,Starter,APAC
C00011,2023-01,2024-08,152.29,Starter,APAC
C00011,2023-01,2024-09,182.74,Starter,APAC
C00011,2023-01,2024-10,182.74,Starter,APAC
C00011,2023-01,2024-11,182.74,Starter,APAC
C00011,2023-01,2024-12,182.74,Starter,APAC
C00012,2023-01,2023-01,200.0,Pro,LATAM
C00012,2023-01,2023-02,240.0,Pro,LATAM
C00012,2023-01,2023-03,288.0,Pro,LATAM
C00012,2023-01,2023-04,288.0,Pro,LATAM
C00012,2023-01,2023-05,345.6,Pro,LATAM
C00012,2023-01,2023-06,345.6,Pro,LATAM
C00012,2023-01,2023-07,345.6,Pro,LATAM
C00012,2023-01,2023-08,345.6,Pro,LATAM
C00012,2023-01,2023-09,345.6,Pro,LATAM
C00012,2023-01,2023-10,345.6,Pro,LATAM
C00012,2023-01,2023-11,345.6,Pro,LATAM
C00012,2023-01,2023-12,414.72,Pro,LATAM
C00012,2023-01,2024-01,414.72,Pro,LATAM
C00012,2023-01,2024-02,497.66,Pro,LATAM
C00012,2023-01,2024-03,497.66,Pro,LATAM
C00012,2023-01,2024-04,497.66,Pro,LATAM
C00012,2023-01,2024-05,497.66,Pro,LATAM
C00012,2023-01,2024-06,497.66,Pro,LATAM
C00012,2023-01,2024-07,497.66,Pro,LATAM
C00012,2023-01,2024-08,597.2,Pro,LATAM
C00012,2023-01,2024-09,597.2,Pro,LATAM
C00012,2023-01,2024-10,597.2,Pro,LATAM
C00012,2023-01,2024-11,597.2,Pro,LATAM
C00012,2023-01,2024-12,597.2,Pro,LATAM
C00013,2023-01,2023-01,50.0,Starter,NA
C00013,2023-01,2023-02,50.0,Starter,NA
C00013,2023-01,2023-03,50.0,Starter,NA
C00013,2023-01,2023-04,50.0,Starter,NA
C00013,2023-01,2023-05,50.0,Starter,NA
C00013,2023-01,2023-06,50.0,Starter,NA
C00013,2023-01,2023-07,50.0,Starter,NA
C00013,2023-01,2023-08,60.0,Starter,NA
C00013,2023-01,2023-09,72.0,Starter,NA
C00013,2023-01,2023-10,72.0,Starter,NA
C00013,2023-01,2023-11,72.0,Starter,NA
C00013,2023-01,2023-12,86.4,Starter,NA
C00013,2023-01,2024-01,86.4,Starter,NA
C00013,2023-01,2024-02,103.68,Starter,NA
C00013,2023-01,2024-03,124.42,Starter,NA
C00013,2023-01,2024-04,124.42,Starter,NA
C00013,2023-01,2024-05,124.42,Starter,NA
C00013,2023-01,2024-06,124.42,Starter,NA
C00013,2023-01,2024-07,124.42,Starter,NA
C00013,2023-01,2024-08,149.3,Starter,NA
C00013,2023-01,2024-09,149.3,Starter,NA
C00013,2023-01,2024-10,179.16,Starter,NA
C00013,2023-01,2024-11,179.16,Starter,NA
C00013,2023-01,2024-12,179.16,Starter,NA
C00014,2023-01,2023-01,50.0,Starter,NA
C00014,2023-01,2023-02,50.0,Starter,NA
C00014,2023-01,2023-03,50.0,Starter,NA
C00014,2023-01,2023-04,42.5,Starter,NA
C00014,2023-01,2023-05,51.0,Starter,NA
C00014,2023-01,2023-06,51.0,Starter,NA
C00014,2023-01,2023-07,51.0,Starter,NA
C00014,2023-01,2023-08,61.2,Starter,NA
C00014,2023-01,2023-09,61.2,Starter,NA
C00014,2023-01,2023-10,61.2,Starter,NA
C00014,2023-01,2023-11,61.2,Starter,NA
C00014,2023-01,2023-12,61.2,Starter,NA
C00014,2023-01,2024-01,61.2,Starter,NA
C00014,2023-01,2024-02,61.2,Starter,NA
C00014,2023-01,2024-03,61.2,Starter,NA
C00014,2023-01,2024-04,61.2,Starter,NA
C00014,2023-01,2024-05,61.2,Starter,NA
C00014,2023-01,2024-06,61.2,Starter,NA
C00014,2023-01,2024-07,73.44,Starter,NA
C00014,2023-01,2024-08,73.44,Starter,NA
C00014,2023-01,2024-09,88.13,Starter,NA
C00014,2023-01,2024-10,74.91,Starter,NA
C00015,2023-01,2023-01,800.0,Enterprise,NA
C00015,2023-01,2023-02,800.0,Enterprise,NA
C00016,2023-01,2023-01,50.0,Starter,EMEA
C00016,2023-01,2023-02,50.0,Starter,EMEA
C00016,2023-01,2023-03,50.0,Starter,EMEA
C00016,2023-01,2023-04,50.0,Starter,EMEA
C00016,2023-01,2023-05,50.0,Starter,EMEA
C00016,2023-01,2023-06,50.0,Starter,EMEA
C00016,2023-01,2023-07,50.0,Starter,EMEA
C00016,2023-01,2023-08,50.0,Starter,EMEA
C00016,2023-01,2023-09,50.0,Starter,EMEA
C00016,2023-01,2023-10,50.0,Starter,EMEA
C00016,2023-01,2023-11,50.0,Starter,EMEA
C00016,2023-01,2023-12,60.0,Starter,EMEA
C00016,2023-01,2024-01,60.0,Starter,EMEA
C00016,2023-01,2024-02,60.0,Starter,EMEA
C00016,2023-01,2024-03,60.0,Starter,EMEA
C00016,2023-01,2024-04,60.0,Starter,EMEA
C00016,2023-01,2024-05,60.0,Starter,EMEA
C00016,2023-01,2024-06,60.0,Starter,EMEA
C00016,2023-01,2024-07,72.0,Starter,EMEA
C00016,2023-01,2024-08,86.4,Starter,EMEA
C00016,2023-01,2024-09,86.4,Starter,EMEA
C00016,2023-01,2024-10,86.4,Starter,EMEA
C00016,2023-01,2024-11,86.4,Starter,EMEA
C00016,2023-01,2024-12,103.68,Starter,EMEA
C00017,2023-01,2023-01,200.0,Pro,NA
C00017,2023-01,2023-02,200.0,Pro,NA
C00018,2023-01,2023-01,50.0,Starter,APAC
C00018,2023-01,2023-02,50.0,Starter,APAC
C00018,2023-01,2023-03,50.0,Starter,APAC
C00018,2023-01,2023-04,50.0,Starter,APAC
C00018,2023-01,2023-05,50.0,Starter,APAC
C00018,2023-01,2023-06,50.0,Starter,APAC
C00018,2023-01,2023-07,60.0,Starter,APAC
C00018,2023-01,2023-08,60.0,Starter,APAC
C00018,2023-01,2023-09,60.0,Starter,APAC
C00018,2023-01,2023-10,60.0,Starter,APAC
C00018,2023-01,2023-11,60.0,Starter,APAC
C00018,2023-01,2023-12,60.0,Starter,APAC
C00018,2023-01,2024-01,60.0,Starter,APAC
C00018,2023-01,2024-02,60.0,Starter,APAC
C00018,2023-01,2024-03,60.0,Starter,APAC
C00018,2023-01,2024-04,51.0,Starter,APAC
C00019,2023-01,2023-01,50.0,Starter,EMEA
C00019,2023-01,2023-02,50.0,Starter,EMEA
C00019,2023-01,2023-03,50.0,Starter,EMEA
C00019,2023-01,2023-04,50.0,Starter,EMEA
C00019,2023-01,2023-05,50.0,Starter,EMEA
C00019,2023-01,2023-06,50.0,Starter,EMEA
C00019,2023-01,2023-07,50.0,Starter,EMEA
C00019,2023-01,2023-08,50.0,Starter,EMEA
C00019,2023-01,2023-09,50.0,Starter,EMEA
C00019,2023-01,2023-10,60.0,Starter,EMEA
C00019,2023-01,2023-11,60.0,Starter,EMEA
C00019,2023-01,2023-12,60.0,Starter,EMEA
C00019,2023-01,2024-01,60.0,Starter,EMEA
C00019,2023-01,2024-02,60.0,Starter,EMEA
C00019,2023-01,2024-03,60.0,Starter,EMEA
C00019,2023-01,2024-04,60.0,Starter,EMEA
C00019,2023-01,2024-05,60.0,Starter,EMEA
C00019,2023-01,2024-06,60.0,Starter,EMEA
C00019,2023-01,2024-07,60.0,Starter,EMEA
C00019,2023-01,2024-08,72.0,Starter,EMEA
C00019,2023-01,2024-09,86.4,Starter,EMEA
C00019,2023-01,2024-10,86.4,Starter,EMEA
C00019,2023-01,2024-11,86.4,Starter,EMEA
C00019,2023-01,2024-12,86.4,Starter,EMEA
C00020,2023-01,2023-01,50.0,Starter,NA
C00020,2023-01,2023-02,42.5,Starter,NA
C00020,2023-01,2023-03,42.5,Starter,NA
C00020,2023-01,2023-04,51.0,Starter,NA
C00020,2023-01,2023-05,51.0,Starter,NA
C00021,2023-01,2023-01,50.0,Starter,EMEA
C00021,2023-01,2023-02,50.0,Starter,EMEA
C00021,2023-01,2023-03,50.0,Starter,EMEA
C00021,2023-01,2023-04,50.0,Starter,EMEA
C00021,2023-01,2023-05,50.0,Starter,EMEA
C00021,2023-01,2023-06,50.0,Starter,EMEA
C00021,2023-01,2023-07,50.0,Starter,EMEA
C00021,2023-01,2023-08,50.0,Starter,EMEA
C00021,2023-01,2023-09,60.0,Starter,EMEA
C00021,2023-01,2023-10,72.0,Starter,EMEA
C00021,2023-01,2023-11,86.4,Starter,EMEA
C00021,2023-01,2023-12,103.68,Starter,EMEA
C00021,2023-01,2024-01,103.68,Starter,EMEA
C00021,2023-01,2024-02,103.68,Starter,EMEA
C00021,2023-01,2024-03,103.68,Starter,EMEA
C00022,2023-01,2023-01,200.0,Pro,EMEA
C00022,2023-01,2023-02,200.0,Pro,EMEA
C00022,2023-01,2023-03,200.0,Pro,EMEA
C00022,2023-01,2023-04,200.0,Pro,EMEA
C00022,2023-01,2023-05,200.0,Pro,EMEA
C00022,2023-01,2023-06,200.0,Pro,EMEA
C00022,2023-01,2023-07,200.0,Pro,EMEA
C00022,2023-01,2023-08,170.0,Pro,EMEA
C00022,2023-01,2023-09,170.0,Pro,EMEA
C00022,2023-01,2023-10,204.0,Pro,EMEA
C00022,2023-01,2023-11,244.8,Pro,EMEA
C00022,2023-01,2023-12,244.8,Pro,EMEA
C00022,2023-01,2024-01,244.8,Pro,EMEA
C00022,2023-01,2024-02,244.8,Pro,EMEA
C00022,2023-01,2024-03,293.76,Pro,EMEA
C00022,2023-01,2024-04,293.76,Pro,EMEA
C00022,2023-01,2024-05,293.76,Pro,EMEA
C00022,2023-01,2024-06,352.51,Pro,EMEA
C00023,2023-01,2023-01,800.0,Enterprise,EMEA
C00023,2023-01,2023-02,800.0,Enterprise,EMEA
C00023,2023-01,2023-03,800.0,Enterprise,EMEA
C00023,2023-01,2023-04,800.0,Enterprise,EMEA
C00023,2023-01,2023-05,800.0,Enterprise,EMEA
C00023,2023-01,2023-06,800.0,Enterprise,EMEA
C00023,2023-01,2023-07,960.0,Enterprise,EMEA
C00023,2023-01,2023-08,960.0,Enterprise,EMEA
C00023,2023-01,2023-09,960.0,Enterprise,EMEA
C00023,2023-01,2023-10,960.0,Enterprise,EMEA
C00023,2023-01,2023-11,960.0,Enterprise,EMEA
C00023,2023-01,2023-12,960.0,Enterprise,EMEA
C00023,2023-01,2024-01,960.0,Enterprise,EMEA
C00023,2023-01,2024-02,960.0,Enterprise,EMEA
C00024,2023-01,2023-01,200.0,Pro,EMEA
C00024,2023-01,2023-02,240.0,Pro,EMEA
C00024,2023-01,2023-03,240.0,Pro,EMEA
C00024,2023-01,2023-04,288.0,Pro,EMEA
C00024,2023-01,2023-05,345.6,Pro,EMEA
C00024,2023-01,2023-06,345.6,Pro,EMEA
C00024,2023-01,2023-07,293.76,Pro,EMEA
C00024,2023-01,2023-08,293.76,Pro,EMEA
C00024,2023-01,2023-09,293.76,Pro,EMEA
C00024,2023-01,2023-10,293.76,Pro,EMEA
C00024,2023-01,2023-11,293.76,Pro,EMEA
C00024,2023-01,2023-12,352.51,Pro,EMEA
C00024,2023-01,2024-01,352.51,Pro,EMEA
C00024,2023-01,2024-02,423.01,Pro,EMEA
C00024,2023-01,2024-03,423.01,Pro,EMEA
C00025,2023-01,2023-01,800.0,Enterprise,NA
C00025,2023-01,2023-02,800.0,Enterprise,NA
C00025,2023-01,2023-03,800.0,Enterprise,NA
C00025,2023-01,2023-04,800.0,Enterprise,NA
C00025,2023-01,2023-05,800.0,Enterprise,NA
C00025,2023-01,2023-06,800.0,Enterprise,NA
C00025,2023-01,2023-07,800.0,Enterprise,NA
C00025,2023-01,2023-08,960.0,Enterprise,NA
C00025,2023-01,2023-09,960.0,Enterprise,NA
C00025,2023-01,2023-10,960.0,Enterprise,NA
C00025,2023-01,2023-11,1152.0,Enterprise,NA
C00025,2023-01,2023-12,1152.0,Enterprise,NA
C00025,2023-01,2024-01,979.2,Enterprise,NA
C00025,2023-01,2024-02,979.2,Enterprise,NA
C00025,2023-01,2024-03,979.2,Enterprise,NA
C00025,2023-01,2024-04,979.2,Enterprise,NA
C00025,2023-01,2024-05,979.2,Enterprise,NA
C00025,2023-01,2024-06,1175.04,Enterprise,NA
C00025,2023-01,2024-07,1175.04,Enterprise,NA
C00025,2023-01,2024-08,1175.04,Enterprise,NA
C00025,2023-01,2024-09,1175.04,Enterprise,NA
C00025,2023-01,2024-10,1175.04,Enterprise,NA
C00025,2023-01,2024-11,1410.05,Enterprise,NA
C00025,2023-01,2024-12,1410.05,Enterprise,NA
C00026,2023-01,2023-01,200.0,Pro,EMEA
C00026,2023-01,2023-02,200.0,Pro,EMEA
C00026,2023-01,2023-03,200.0,Pro,EMEA
C00026,2023-01,2023-04,200.0,Pro,EMEA
C00026,2023-01,2023-05,200.0,Pro,EMEA
C00026,2023-01,2023-06,200.0,Pro,EMEA
C00026,2023-01,2023-07,170.0,Pro,EMEA
C00026,2023-01,2023-08,204.0,Pro,EMEA
C00026,2023-01,2023-09,244.8,Pro,EMEA
C00026,2023-01,2023-10,244.8,Pro,EMEA
C00026,2023-01,2023-11,244.8,Pro,EMEA
C00026,2023-01,2023-12,244.8,Pro,EMEA
C00026,2023-01,2024-01,244.8,Pro,EMEA
C00026,2023-01,2024-02,244.8,Pro,EMEA
C00026,2023-01,2024-03,244.8,Pro,EMEA
C00026,2023-01,2024-04,293.76,Pro,EMEA
C00026,2023-01,2024-05,293.76,Pro,EMEA
C00026,2023-01,2024-06,293.76,Pro,EMEA
C00026,2023-01,2024-07,293.76,Pro,EMEA
C00026,2023-01,2024-08,293.76,Pro,EMEA
C00026,2023-01,2024-09,352.51,Pro,EMEA
C00026,2023-01,2024-10,352.51,Pro,EMEA
C00026,2023-01,2024-11,423.01,Pro,EMEA
C00026,2023-01,2024-12,359.56,Pro,EMEA
C00027,2023-01,2023-01,50.0,Starter,LATAM
C00027,2023-01,2023-02,50.0,Starter,LATAM
C00027,2023-01,2023-03,50.0,Starter,LATAM
C00027,2023-01,2023-04,42.5,Starter,LATAM
C00027,2023-01,2023-05,42.5,Starter,LATAM
C00027,2023-01,2023-06,42.5,Starter,LATAM
C00027,2023-01,2023-07,42.5,Starter,LATAM
C00027,2023-01,2023-08,51.0,Starter,LATAM
C00027,2023-01,2023-09,51.0,Starter,LATAM
C00027,2023-01,2023-10,51.0,Starter,LATAM
C00027,2023-01,2023-11,43.35,Starter,LATAM
C00027,2023-01,2023-12,43.35,Starter,LATAM
C00027,2023-01,2024-01,52.02,Starter,LATAM
C00027,2023-01,2024-02,52.02,Starter,LATAM
C00027,2023-01,2024-03,52.02,Starter,LATAM
C00027,2023-01,2024-04,62.42,Starter,LATAM
C00027,2023-01,2024-05,62.42,Starter,LATAM
C00027,2023-01,2024-06,62.42,Starter,LATAM
C00027,2023-01,2024-07,62.42,Starter,LATAM
C00027,2023-01,2024-08,62.42,Starter,LATAM
C00027,2023-01,2024-09,62.42,Starter,LATAM
C00027,2023-01,2024-10,74.91,Starter,LATAM
C00027,2023-01,2024-11,74.91,Starter,LATAM
C00027,2023-01,2024-12,74.91,Starter,LATAM
C00028,2023-01,2023-01,800.0,Enterprise,EMEA
C00028,2023-01,2023-02,800.0,Enterprise,EMEA
C00028,2023-01,2023-03,800.0,Enterprise,EMEA
C00028,2023-01,2023-04,800.0,Enterprise,EMEA
C00028,2023-01,2023-05,800.0,Enterprise,EMEA
C00028,2023-01,2023-06,800.0,Enterprise,EMEA
C00028,2023-01,2023-07,800.0,Enterprise,EMEA
C00028,2023-01,2023-08,800.0,Enterprise,EMEA
C00028,2023-01,2023-09,960.0,Enterprise,EMEA
C00028,2023-01,2023-10,960.0,Enterprise,EMEA
C00028,2023-01,2023-11,960.0,Enterprise,EMEA
C00029,2023-01,2023-01,50.0,Starter,NA
C00029,2023-01,2023-02,50.0,Starter,NA
C00029,2023-01,2023-03,50.0,Starter,NA
C00029,2023-01,2023-04,50.0,Starter,NA
C00029,2023-01,2023-05,50.0,Starter,NA
C00029,2023-01,2023-06,50.0,Starter,NA
C00029,2023-01,2023-07,50.0,Starter,NA
C00029,2023-01,2023-08,50.0,Starter,NA
C00029,2023-01,2023-09,50.0,Starter,NA
C00029,2023-01,2023-10,50.0,Starter,NA
C00029,2023-01,2023-11,50.0,Starter,NA
C00029,2023-01,2023-12,60.0,Starter,NA
C00029,2023-01,2024-01,60.0,Starter,NA
C00029,2023-01,2024-02,60.0,Starter,NA
C00029,2023-01,2024-03,60.0,Starter,NA
C00029,2023-01,2024-04,60.0,Starter,NA
C00029,2023-01,2024-05,60.0,Starter,NA
C00029,2023-01,2024-06,60.0,Starter,NA
C00029,2023-01,2024-07,60.0,Starter,NA
C00029,2023-01,2024-08,60.0,Starter,NA
C00029,2023-01,2024-09,60.0,Starter,NA
C00029,2023-01,2024-10,60.0,Starter,NA
C00029,2023-01,2024-11,60.0,Starter,NA
C00029,2023-01,2024-12,60.0,Starter,NA
C00030,2023-01,2023-01,50.0,Starter,NA
C00030,2023-01,2023-02,50.0,Starter,NA
C00030,2023-01,2023-03,60.0,Starter,NA
C00030,2023-01,2023-04,60.0,Starter,NA
C00030,2023-01,2023-05,72.0,Starter,NA
C00030,2023-01,2023-06,86.4,Starter,NA
C00030,2023-01,2023-07,86.4,Starter,NA
C00030,2023-01,2023-08,103.68,Starter,NA
C00030,2023-01,2023-09,103.68,Starter,NA
C00030,2023-01,2023-10,103.68,Starter,NA
C00030,2023-01,2023-11,124.42,Starter,NA
C00030,2023-01,2023-12,124.42,Starter,NA
C00030,2023-01,2024-01,124.42,Starter,NA
C00030,2023-01,2024-02,124.42,Starter,NA
C00030,2023-01,2024-03,124.42,Starter,NA
C00030,2023-01,2024-04,124.42,Starter,NA
C00030,2023-01,2024-05,124.42,Starter,NA
C00030,2023-01,2024-06,124.42,Starter,NA
C00030,2023-01,2024-07,149.3,Starter,NA
C00030,2023-01,2024-08,149.3,Starter,NA
C00030,2023-01,2024-09,149.3,Starter,NA
C00030,2023-01,2024-10,179.16,Starter,NA
C00030,2023-01,2024-11,179.16,Starter,NA
C00030,2023-01,2024-12,179.16,Starter,NA
C00031,2023-01,2023-01,50.0,Starter,EMEA
C00031,2023-01,2023-02,50.0,Starter,EMEA
C00031,2023-01,2023-03,60.0,Starter,EMEA
C00031,2023-01,2023-04,72.0,Starter,EMEA
C00031,2023-01,2023-05,72.0,Starter,EMEA
C00031,2023-01,2023-06,86.4,Starter,EMEA
C00032,2023-01,2023-01,50.0,Starter,APAC
C00033,2023-01,2023-01,200.0,Pro,APAC
C00033,2023-01,2023-02,240.0,Pro,APAC
